x y z state
1300.51 896.431 1748.27 1
1295.97 871.998 1746.62 1
1295.67 868.81 1748.36 1
1295.66 868.774 1748.35 1
1295.6 896.794 1747.97 1
1295.61 896.821 1748.03 1
1300.7 894.369 1748.47 1
1300.72 894.393 1748.43 1
1295.49 869.073 1747.67 1
1295.5 869.12 1747.68 1
1295.53 869.058 1747.66 1
1300.96 876.818 1745.33 1
1301.02 876.854 1745.35 1
1296.17 876.379 1746.25 1
1301.18 880.908 1747.98 1
1299.14 862.42 1746.29 1
1301.07 877.402 1745.9 1
1295.44 869.112 1747.77 1
1296.23 876.2 1745.95 1
1296.42 886.223 1747.21 1
1295.62 870.942 1745.45 1
1295.64 870.897 1745.48 1
1296.08 872.607 1746.61 1
1296.08 872.569 1746.61 1
1296.09 872.595 1746.54 1
1295.97 872.493 1746.86 1
1301.17 879.744 1746.06 1
1295.51 869.774 1745.86 1
1295.05 866.862 1746.24 1
1295.88 873.224 1745.64 1
1301.2 887.391 1747.99 1
1300.79 876.582 1747.96 1
1295.81 870.273 1745.39 1
1298.05 891.959 1750.41 1
1296.44 884.268 1747.15 1
1296.13 876.086 1746.21 1
1296.12 876.053 1746.27 1
1296.15 876.057 1746.23 1
1298.97 861.543 1746.28 1
1299.6 902.401 1748.5 1
1299.56 902.376 1748.46 1
1296.13 891.893 1748.06 1
1299.04 885.622 1749.98 1
1296.29 877.59 1745.81 1
1296.3 877.525 1745.86 1
1295.89 872.625 1745.71 1
1295.87 894.412 1748.07 1
1299.78 865.755 1745.41 1
1295.11 867.184 1746.54 2
1295.17 867.227 1746.52 1
1296.03 874.664 1745.66 1
1298.43 885.618 1750.1 2
1298.42 885.679 1750.07 1
1298.43 885.66 1750.1 1
1296.03 873.911 1746.48 1
1296 873.915 1746.44 1
1296.17 876.277 1746.94 1
1300.02 867.432 1745.85 1
1295.34 868.485 1747.51 1
1295.41 869.151 1745.37 1
1297.07 892.857 1750.08 1
1297.12 892.903 1750.07 1
1295.72 895.958 1747.12 1
1295.75 896.011 1747.15 1
1296.13 891.924 1748.24 1
1296.18 891.972 1748.21 1
1295.8 895.465 1747.25 1
1295.87 894.974 1748.48 1
1296.29 878.862 1746.77 1
1300.03 867.56 1746.49 1
